==24707== NVPROF is profiling process 24707, command: ./test
==24707== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==24707== Profiling application: ./test
==24707== Profiling result:
==24707== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp0_gld_thread_count_32b",98060928,98060928,98060928
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp1_gld_thread_count_32b",98060928,98060928,98060928
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp2_gld_thread_count_32b",98060928,98060928,98060928
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp3_gld_thread_count_32b",98060928,98060928,98060928
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp0_gld_thread_count_64b",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp1_gld_thread_count_64b",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp2_gld_thread_count_64b",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp3_gld_thread_count_64b",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp0_gld_thread_count_128b",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp1_gld_thread_count_128b",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp2_gld_thread_count_128b",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp3_gld_thread_count_128b",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp0_gld_warp_count_32b",3080448,3080448,3080448
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp1_gld_warp_count_32b",3080448,3080448,3080448
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp2_gld_warp_count_32b",3080448,3080448,3080448
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp3_gld_warp_count_32b",3080448,3080448,3080448
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp0_gld_warp_count_64b",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp1_gld_warp_count_64b",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp2_gld_warp_count_64b",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp3_gld_warp_count_64b",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp0_gld_warp_count_128b",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp1_gld_warp_count_128b",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp2_gld_warp_count_128b",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"rocache_subp3_gld_warp_count_128b",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp0_read_sysmem_sector_queries",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp1_read_sysmem_sector_queries",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp2_read_sysmem_sector_queries",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp3_read_sysmem_sector_queries",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp0_write_sysmem_sector_queries",1,4,2
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp1_write_sysmem_sector_queries",0,0,0
