==25875== NVPROF is profiling process 25875, command: ./test
==25875== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==25875== Profiling application: ./test
==25875== Profiling result:
==25875== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"tex0_cache_sector_queries",28622496,28622496,28622496
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"tex1_cache_sector_queries",28622496,28622496,28622496
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"tex2_cache_sector_queries",28622496,28622496,28622496
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"tex3_cache_sector_queries",28622496,28622496,28622496
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"tex0_cache_sector_misses",16034592,16034592,16034592
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"tex1_cache_sector_misses",16034592,16034592,16034592
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"tex2_cache_sector_misses",16034592,16034592,16034592
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"tex3_cache_sector_misses",16034592,16034592,16034592
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"fb_subp0_read_sectors",23200956,25434857,24317906
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"fb_subp1_read_sectors",23239841,25753737,24496789
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"fb_subp0_write_sectors",22736525,23278382,23007453
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"fb_subp1_write_sectors",22712371,23321480,23016925
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp0_write_sector_misses",11457110,11659294,11558202
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp1_write_sector_misses",11374772,11676156,11525464
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp2_write_sector_misses",11359331,11667372,11513351
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp3_write_sector_misses",11402907,11687697,11545302
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp0_read_sector_misses",12149402,12903375,12526388
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp1_read_sector_misses",11604302,12930764,12267533
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp2_read_sector_misses",11588994,12993361,12291177
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp3_read_sector_misses",11664439,13204820,12434629
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp0_write_l1_sector_queries",12020524,12020780,12020652
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp1_write_l1_sector_queries",12027011,12027366,12027188
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp2_write_l1_sector_queries",12030866,12031223,12031044
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp3_write_l1_sector_queries",12024663,12025119,12024891
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp0_read_l1_sector_queries",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp1_read_l1_sector_queries",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp2_read_l1_sector_queries",0,0,0
"Tesla K20c (0)","__kernel___forma_kernel__0__(float*, int, int, int, int, int, int, float*)",2,"l2_subp3_read_l1_sector_queries",0,0,0
