==3066== NVPROF is profiling process 3066, command: ./untiled
==3066== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3066== Profiling application: ./untiled
==3066== Profiling result:
==3066== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp0_read_tex_hit_sectors",127274567,127275241,127274946
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp1_read_tex_hit_sectors",127274715,127275185,127274952
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp2_read_tex_hit_sectors",127275165,127275651,127275452
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"l2_subp3_read_tex_hit_sectors",127275230,127275723,127275432
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp0_gld_thread_count_32b",994876680,994886820,994881855
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp1_gld_thread_count_32b",994883100,994888680,994885110
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp2_gld_thread_count_32b",994878180,994888320,994883145
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp3_gld_thread_count_32b",994876320,994881900,994879890
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp0_gld_thread_count_64b",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp1_gld_thread_count_64b",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp2_gld_thread_count_64b",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp3_gld_thread_count_64b",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp0_gld_thread_count_128b",0,0,0
"Tesla K40c (0)","__kernel___forma_kernel__0__(float, float, float, float*, float*, float*, float*, int, int, int, float*)",4,"rocache_subp1_gld_thread_count_128b",0,0,0
